DATE,DEXCHUS
9/6/11,6.3901
9/7/11,6.394
9/8/11,6.3833
9/9/11,6.388
9/12/11,6.3877
9/13/11,6.397
9/14/11,6.391
9/15/11,6.3904
9/16/11,6.3833
9/19/11,6.3864
9/20/11,6.3837
9/21/11,6.3811
9/22/11,6.3879
9/23/11,6.3877
9/26/11,6.3975
9/27/11,6.3975
9/28/11,6.3933
9/29/11,6.3964
9/30/11,6.378
10/3/11,6.3745
10/4/11,6.3745
10/5/11,6.3745
10/6/11,6.378
10/7/11,6.3745
10/10/11,.
10/11/11,6.3745
10/12/11,6.358
10/13/11,6.382
10/14/11,6.378
10/17/11,6.3695
10/18/11,6.3804
10/19/11,6.3769
10/20/11,6.3825
10/21/11,6.3823
10/24/11,6.3744
10/25/11,6.3605
10/26/11,6.3534
10/27/11,6.359
10/28/11,6.357
10/31/11,6.3547
11/1/11,6.3547
11/2/11,6.355
11/3/11,6.3513
11/4/11,6.34
11/7/11,6.3481
11/8/11,6.3462
11/9/11,6.3401
11/10/11,6.3454
11/11/11,.
11/14/11,6.3536
11/15/11,6.3464
11/16/11,6.3445
11/17/11,6.3505
11/18/11,6.3565
11/21/11,6.3603
11/22/11,6.3605
11/23/11,6.3576
11/25/11,6.3802
11/28/11,6.3839
11/29/11,6.3769
11/30/11,6.3765
12/1/11,6.3655
12/2/11,6.3596
12/5/11,6.3629
12/6/11,6.3645
12/7/11,6.3642
12/8/11,6.3618
12/9/11,6.3641
12/12/11,6.3604
12/13/11,6.3648
12/14/11,6.371
12/15/11,6.3733
12/16/11,6.3479
12/19/11,6.3376
12/20/11,6.3459
12/21/11,6.3386
12/22/11,6.3392
12/23/11,6.3364
12/27/11,6.321
12/28/11,6.3211
12/29/11,6.3187
12/30/11,6.2939
1/3/12,6.294
1/4/12,6.2941
1/5/12,6.3013
1/6/12,6.3088
1/9/12,6.3143
1/10/12,6.3141
1/11/12,6.3149
1/12/12,6.3177
1/13/12,6.3065
1/17/12,6.3136
1/18/12,6.3109
1/19/12,6.3162
1/20/12,6.333
1/23/12,6.333
1/24/12,6.333
1/25/12,6.333
1/26/12,6.333
1/27/12,6.333
1/30/12,6.331
1/31/12,6.308
2/1/12,6.3076
2/2/12,6.3017
2/3/12,6.3027
2/6/12,6.312
2/7/12,6.3046
2/8/12,6.2938
